Meisterzählung,D,A,B,C,E,F,G,W,Notizen
5343,erfüllet sint die tage min 3800,erfult ſint die tage mein,,,,,,er follet ſint di tage min,
5344,daz ich muter werden schol,daz ich m#svo+ter werden ſol,,,,,,daz ich m#suo+ter werden ſcol,
5345,daz ist in miner ahte wol,,,,,,,,
5346,ich bringe den gewaltigen wirt,,,,,,,,
5347,,ich bringe kouf v#and+ zol,,,,,,ich bringe #f1v/10+ kouf unde zol,
5348,,,,,,,,di uil reinen miete,
5349,,,,,,,,die bringe ich all[…],
5350,,,,,,,,den gewaltigen huſ wirt,
5351,den sin eigen div gebirt,,,,,,,den #1v/11+ ſin eigenen diu gebirt,
5352,als er mir herre gebot 3805,,,,,,,,
5353,noi varn m uz ich durh die notais,,,,,,,,
5354,,,,,,,,alſo mir daz lebe[…]de b[…]t,
5355,,,,,,,,bi ſinem engel enbot,
5356,ez umbe mitte naht wart,Als ez mitev naht wart,,,,,,alſ ez mitten #f1v/12+ naht wart,
5357,do gab der magede inuart,do gab der magt invart,,,,,,do gab der megede inuart,
5358,25 Bethlehême ir gruzsal,zebethlehem der ſtet ſal,,,,,,ce betlehem daz gruzſal,
5359,do ne mähte oh div ir zal 3810,do moht lenger ir zal,,,,,,do ne mohte ir zal,
5360,niht langer haben frist,ha#aben+ denhaine friſt,,,,,,niht […],
5361,der uorgewissagte Christ,der vorgeſprochene chriſt,,,,,,,
5362,wolte selbe do zeigen,d#aer+ wolte ſich erzaigen,,,,,,,
5363,daz sih der himel neigen,,,,,,,,
5364,schölte zu der erde 3815,,,,,,,,
5365,do in gebar div werde,,,,,,,,
5366,,v#and+ ſine g#sue+te naigen,,,,,,#f2r/1+ […] muſte neigen,
5367,Div froe entwêlen muse,#rD+iv vrowe m#suo+ſt entwalen,,,,,,#iD+iu urowe muſe entweln,
5368,bi einer smoehen chiuse,bey ainer zellen ſmâhen,,,,,,bie einer boſen celle,
5369,diu himiliske porte,div himiliſche porte ,,,,,,diu himeliſche […],
5370,die got mit sinem worte 3820,,,,,,,di got […],
5371,erweit uns ze heile,,,,,,,,
5372,,div ſwanger wart von goteſ worte,,,,,,,
5373,,aller werlde zehail,,,,,,,
5374,diu gesah in einem stêine,div ſach an einem tail,,,,,,,
5375,ein vil wenigez lfich,eine wenige #f54r+ luke,,,,,,,
5376,ir wille sie dar getruch,ir noturft ſey darin tr#suo+k,,,,,,#f2r/3+ […] truk,
5377,daz sie dar in trat 3825,daz ſi darin trat,,,,,,daz ſi dar in trete,
5378,ν sich da hete gesät,,,,,,,,
5379,,v#and+ ez ze houſe hat,,,,,,u#and+ ez cehuſe hete,
5380,daz enchom niht uon geschihte,daz kom niht von geſchihte,,,,,,daz en kom ir niht uon geſtrikte,
5381,daz sie in alrihte,daz ſi algerihte,,,,,,daz ſi enalrihte,
5382,in dem vinsteren hol,in dem vinſtern hol ,,,,,,#f2r/4+ indem hol,
5383,schölte rñwen so wol 3830,ſolte geberen alſo wol,,,,,,ſolde r#suo+wen alſo wol,
5384,di Christes predigsere,Die chriſteſ predigere,,,,,,di criſteſ predegere,
5385,die heten uor manigem iare,,,,,,,heten uon manegen iaren ,
5386,uor gescriben ν gesaget,,,,,,,vor erkundet […],
5387,wie div muter vñ maget,,,,,,,,
5388,,weiſſagten diſe mære,,,,,,,
5389,also schölte gebern 3835,vor wie ſi ſolt gebern,,,,,,,
5390,unde uns des herren gewern,v#and+ des herren geweren,,,,,,,
5391,der ze uoget wrde gezalt,,,,,,,#f2r/6+ […]gte wrde ge calt,
5392,fur des tieuels gewalt,,,,,,,for deſ tiuveleſ gewalt,
5393,do sie gie in den stêin,do ſi gie in den ſtein,,,,,,do ſi gienc inden ſtein,
5394,do luhte ν erschêin 3840,do erlouhte v#and+ er ſchain,,,,,,d[…] er luhte unde erſcein,
5395,ein michel lieht dar inne,ein michel lieht darinne,,,,,,ein michel lieht dar inne,
5396,gegen der kuniginne,gen der kuniginne,,,,,,gegen der kuneginne,
5397,die wile daz sie da beleib,die weile daz ſi da belaip,,,,,,die wile u#and+ ſi da beleip,
5398,die vinster daz lieht uertreib,daz lieht die vinſt#aer+ v#aer+traip,,,,,,daz lieht di ueinſtere #f2r/8+ uertreip,
5399,sam da ein fîvr brunne 3845,,,,,,,ſam da kerzen brunnen,
5400,oder div perhtel sunne,,,,,,,oder diu lihte ſunne,
5401,uertribe daz genibele,,,,,,,uer tribe daz genibele,
5402,uz dem ir gesidele,,,,,,,uz dem #f2r/9+ ir geſidele,
5403,sie gebot dem man zehante,ſi gebot dem alten manne,,,,,,ſi gebot dem altem manne,
5404,daz er sinen fltz wante 3850,,,,,,,,
5405,heveammen ze bringen,,,,,,,,
5406,die sie in ir dingen,,,,,,,,
5407,,daz er ire ein amme,,,,,,daz er gute ammen,
5408,,eilte gewinnen,,,,,,ilte gewinnen,
5409,,die ſi mit dem kinde,,,,,,di ſi mit dem kin#f2r/10+de,
5410,wol bewären chunden,wol bewaren kunde,,,,,,wol bewarn kunden,
5411,die hete er schiere funden,die het er ſchiere funden,,,,,,di het er ſcire funden,
5412,Rachel hiez diu eine 3855,#rR+ache#l hiez div aine,,,,,,rachel hiez diu eine,
5413,diu gahte zu dem stêine,div gahte z#svo+ dem ſtaine,,,,,,diu ilte gegen dem ſteine,
5414,Salome damite gie,ſalome damit gie,,,,,,#f2r/11+ ſalome da mite gie,
5415,der herre sie niht uerlie,der herre ſi niht ver lie,,,,,,der ſi nie uerlie,
5416,nntze er sie brâhte an die stat,,,,,,,,
5417,als diu froe gebat 3860,,,,,,,,
5418,,er bot in ſine miete,,,,,,,
5419,,der ſeligen diete,,,,,,,
5420,,,,,,,,ſi musen in beraten,
5421,,,,,,,,er bot in groze mite alſo drate,
5422,Ioseph der alte,,,,,,,#f2r/12+ #iI+oſep der […] alte,
5423,der uil einvalte,,,,,,,dr uil einualte,
5424,der senfte vnd der gute,,,,,,,der milte unde der gute,
5425,,von ſin#aer+ grozz#aer+ g#sue+te,,,,,,,
5426,vil lutzel in daz mute,luzel in daz m#suo+te ,,,,,,w[…] lutzel ez in m#suo+te,
5427,daz er daz allez antrucb 3865,,,… Truk,,,,daz er daz […],
5428,wnn swes diu fröe ie gewch,swes div vrowe gew#suo+k ,,wanne wes di vrouwe gewuk,,,,,
5429,ν swar sie in wolte senden,,,und I war si in wolte sende,,,,,
5430,daz chunde er wol uerenden,,,,,,,,
5431,,gedultichlich er daz v#aer+tr#suo+k,,,,,,,
5432,,,,daz brachte er an ein ende,,,,,
5433,Do er underwegen was,#rD+ie weil er vnd#aer+ wegen was,,(lo er unterwegen was,,,,#f2v/1+ do […]de[…]waſ,
5434,do chom div zit daz sie gnas 3870,do kom div zeit daz ſi genas,,do kom di zit daz si yenas,,,,do kom diu […]t daz ſi genaſ,
5435,diu geburt sanfte ergie,,,,,,,,
5436,wan sie in âne meil enpfie,,,,,,,,
5437,ν ane sunde gebar,,,,,,,,
5438,von rehte ir leides nien war,,,,,,,,
5439,,div geburt tet ir niht wæ,,di gobiirt tot ur nicht we,,,,diu geb[…] niht we,
5440,,obſtetricum uice,,obstetricum vice,,,,obſtetricum vi[…],
5441,ir waren die eugele bi 3875,ſt#suo+n#aden+ die engel da bey,,stunden di engole dabi,,,,,
5442,die taten sie sorgen vrî,,,,,,,,
5443,do sie brakte den heilant,,,,,,,,
5444,der diu irdisken lant,,,,,,,,
5445,vns ze h seile wolte scoen,,,,,,,,
5446,,da div magt ſunden frey,,do di maget edele und vri,,,,,
5447,,zaigte den hailant,,zeigte 1 den heilant,,,,,
5448,,den alle reiche #f54v+ v#and+ alle lant,,der alle rich und lant,,,,#f2v/3+ […] lant,
5449,,ovf genade wellent schowen,,uf gnade wolte I schonwcn,,,,vf genade wolte ſcowen,
5450,iane was oh bi der frôen 3880,ia was ouch bey der vrowen,,io was euch bi der vrouwcn,,,,ie ne waſ […] bi den urowen,
5451,liehein wertlicher lip,weder man noch weip,,weder man I noch wip,,,,weder man noch wip,
5452,enweder man noh wip,noch den hain yrdiſcher leip,,noch kein irdisscher hp,,,,noch #f2v/4+ dehein irdiſer lip,
5453,wirdik was des niemen,wirdik waz des nieman,,wirdig was des nimen,,,,wirdec waſ deſ niemen,
5454,da die engele schölten dienen,da die engel ſolten dienen,,da di engele schölten dinen,,,,da di engele ſolten dienen,
5455,,daz er da mit were,,daz er da were,,,,daz er damit were,
5456,,v#and+ die herſchaft an ſehe,,di herschaft ane sehe,,,,die her[…],
5457,dem gütlichem geslsehte 3885,das goteliche geſlehte ,,daz gotlich geslechte,,,,,
5458,wir hören an der heren nahte,wir horen ze weinahte,,wi hörn zu wihcnnachten,,,,,
5459,,die geiſtlichen hirtte,,di geistlichen hirten,,,,,
5460,,von des himels wirte,,von des himels wirtc,,,,#f2v/6+ […] wirte,
5461,groz ere der werlte chunden ,michel ære kunden,,michole ere künden,,,,michel ere kvnden,
5462,doh mugen wirz niht ergrunden,doch mugent ſi niht ergrunden,,doch enmugen sis nicht dergrundcn,,,,doch enmugen ſi ez niht ergrunden,
5463,ia ist sin tusentstunt me,ſein iſt touſent ſtunt me,,io ist sin tusenstunt me,,,,ia iſt ſin tuſen[…]nt me,
5464,denne da gescriben ste 3890,dan inder geſchreiben ſtæ,,dan da gescriben ste,,,,danne da #f2v/7+ geſcriben ſte,
5465,Daz grozze wfen ν chlagen,#rD+az grozze w#suo+ffen v#and+ chlagen,,Daz groze sufczen und di clag,,,,#iD+az groze […]fen unde clagen,
5466,25 daz andere froen muzzen uertragen,daz andre vrowen muezzen haben haben,,di ander vrouwen muste hab,,,,daz andre vrowen muſen haben,
5467,so sie gewinnent div kint,ſo ſi gewinnent div kint,,so si gewinnen di kint,,,,ſo ſi gewinn#aen+t #f2v/8 diu kint,
5468,div uon sunden chomen sint,div von ſunden ko#amen+ ſint,,di von Sunden be kumen sint,,,,diu uon den ſunden komen ſint,
5469,daz was ir seltasene 3895,daz waz ir ſeltzene,,daz was ir scltscne,,,,daz waſ ir ſeltſene,
5470,sie was sin ailes âne,v#and+ was ſein alleſ ane,,si was sin allis {ane,,,,ſi was ez allez ane,
5471,wan daz kint daz da fnrgie,,,daz kint daz da wrc gink,,,,daz kint daz #f2v/9+ her fur gie,
5472,do siz cem ersten enpfie,,,als si daz von erste cnpfink,,,,do ſi ce dem erstem daz emphie,
5473,daz brûefte der heilige geist,,,,,,,,
5474,ane suntliche uolleist 3900,,,,,,,,
5475,,,,do was di lüttere ane meil,,,,do waſ ſi luter ane meil,
5476,,,,da von gewan si daz heil,,,,da von gewan ſi daz heil,
5477,uon schulden sie niht enswar,,,daz si nicht enswar,,,,daz #2v/10+ ſi niht enſwa[…],
5478,do sie Christum gebar,,,do si xpm gebar,,,,ob ſi #achristum+ gebar,
5479,der mit siner gêinwrte,,,,,,,,
5480,y mseitlicher geburte,,,,,,,,
5481,die sundsere getroste 3905,,,,,,,,
5482,ν die Christenheit erloste,,,,,,,,
5483,,daz golt daz div werlt hat,,daz golt daz di werlt hat,,,,daz golt daz diu werlt hat,
5484,,div in dem ellende ſtat,,di in domo enlonde stat,,,,[…] ſtat,
5485,,daz mohte nieman wider wegen,,daz enmochte nienant widerwegen,,,,ir en moh#2v/11+te nimmer widerwegen,
5486,,die geburt v#and+ den ſegen,,die geburt von dem sogen,,,,di gepurtunde den ſegen,
5487,,den vnſ div maget brahte,,(Ion uns di magot brachte,,,,den unſ diu maget brahte,
5488,,do ir got ge dahte,,do si got so bedachte,,,,do ſi got ſo be#2v/12+dahte,
5489,,an allen iren dingen,,an allen irn dingen,,,,an allen irdingen,
5490,,ſagen vnde ſingen,,sagen lind singen,,,,ſagen unde ſingen,
5491,,muezze wir immer mere,,niuzen wir immer dannen,,,,muze wir da uor immermere,
5492,,,,der val ist zugangen,,,,,
5493,,,,der uns mute sere,,,,,
5494,,alle geloubige ſele,,alle glcubige sele,,,,alle geloubige […],
5495,,die ſulen der hochzeiten,,di schullent der iiochcite,,,,,
5496,,warten v#and+ beiten,,warten und bite,,,,,
5497,,mit #55r+ geiſtlichem troſte,,mit geistliche tröste,,,,,
5498,,do got ſin volk erloſte,,do got sine crisltenheit erloste,,,,,
5499,Ioseph der heilige man,#rI+oſeph d#aer+ heilige man,,jIoseph der heilige man,,,,,
5500,do er die ammen gewan,do er die ammen gewan,,do er di j amraen gewan,,,,,
5501,er gie zu dem eteine,er gienk z#svo+ dem ſtaine,,er ginc zu deme steine,,,,,
5502,do lach diu maget reine 3910,da lak div maget reine,,do lag di malget reine,,,,,
5503,35 in einem grozzen liehte,in einem grozzen liehte,,in eime grozen lichte,,,,,
5504,iane getruoten sie mit nîehte,ia getrouten ſi niht,,io entruweten si mit nichte,,,,,
5505,zu ir an die stat gahen,an die ſtat gegahen,,an di stat gegahen,,,,,
5506,da sie den glast sahen,da ſi den glaſt ſahen,,da si den glast j sahen,,,,,
5507,von dem ewigen sunnen 3915,do ſi het gewunnen,,do hatte si gewunnen,,,,,
5508,den sie hete gewnnen,den ewigen ſunnen,,di ewige sunnen,,,,,
5509,,des ſchein nimmer zegat,,des I schin nimmer zurget,,,,,
5510,,die weile der himel ſtat,,di wile daz der himel stet,,,,,
5511,daz kint sie dicke chûste,daz kint ſi diche kuſte,,daz kint si kuste,,,,,
5512,ez lag ir an der brüste,ez lag ir an ir bruſte,,ez lac ir an der brüste,,,,,
5513,daz wenich was zesehen,daz wenik was ze ſehene,,daz wenig was zu sehene,,,,,
5514,ν uil michel ze iehen 3920,v#and+ michel ze iehene,,und michel zu bekennene,,,,,
5515,40 daz den tot uertribet,,,daz den tot vertribet,,,,,
5516,gêin dem div erde bibet,,,gein im di erde bidemet,,,,,
5517,daz die berge erschnttet,,,,,,,,
5518,,daz die perg alle,,daz di berge alle,,,,,
5519,,mit michelm ſchalle,,mit michclem schalle,,,,,
5520,,weget v#and+ ſchutet,,woget und ersuchet,,,,,
5521,daz hete da gehuttet,daz het da gehvttet,,daz hatte da gebuwet,,,,,
5522,in einem engen läge 3925,in einem engen luge,,in ciuio wonigon luge,,,,,
5523,sin muter hete fròde genfige,ſein m#suo+ter het doch frevde genvoge,,sin mutterhatte vreude genug,,,,,
5524,uon den eren des waene ich wol,,,,,,,,
5525,die fröen an daz liehte hol,,,,,,,,
5526,getorsten niht ernenden,,,,,,,,
5527,,#rD+o getorſten die vrowen in daz hol,,Do entorsten di vi-oiiwon an da/ hol,,,,,
5528,,daz des liehteſ waz ſo vol,,daz ez Hechtes was vol,,,,,
5529,,ſich den heinen weis niht gewenden,,keine wis ernennen,,,,,
5530,sie musen fur senden 3930,ſi m#suo+ſen fur senden,,si muste vor senden,,,,,
5531,den guten patriarche,den milten #rP+atriark,,den muten patriarehoii,,,,,
5532,sie wnderote starche,ſi wundrot ſtark,,si wundert vil starke,,,,,
5533,wanne daz lieht bechame,von wannen daz lieht ſch#soe+ne,,wan daz licht schone,,,,,
5534,daz got selben gezfème,,,,,,,,
5535,,in den ſtein chome,,in dem steine be kome,,,,,
5536,,,,da ie vinster inno was,,,,,
5537,,,,durch not vorch ton si daz,,,,,
5538,Ioseph mit siner kiuskeite 3935,mit #rI+oſebes kevſcheit,,ioscphs kusscheit,,,,,
5539,der gab in darin geleite,,,di gab in do geleit,,,,,
5540,,gewunnen ſi gelait,,,,,,,
5541,,daz ſi dar mohten gelangen,,daz er mochte langen,,,,,
5542,,da div geburt was er gangen,,do di geburt was erganigen,,,,,
5543,,des kindeſ was er vil #f55v+ fro,,des kindes was er vil vro,,,,,
5544,,die goteſ genade lobt er do,,di gotis gnade lobte 1 er do,,,,,
5545,er sprah liebiu frowe min,er ſp#ara+ch vrowe luſtſam,,'er sprach ''vrouwe vil lustsam',,,,,
5546,ich han getan den willen din,,,,,,,,
5547,,ſwaz dv gepivteſt daz iſt getan,,waz du gebu tes daz ist getan,,,,,
5548,wil du sie nu gruzzen,wil dv die vrowen grvezzen,,wiltu vrouwe gruzen,,,,,
5549,so gebivte daz sie muzzen 3940,ſo gebivt daz ſi m#sve+zzen,,so gebut j daz si muzen,,,,,
5550,fur din antlutze gen,her fur dein antlutze gen,,wr din antlicze gen,,,,,
5551,ich hiez sie uor dem hole sten,ich liez ſey vor der hole ſten,,ich hiz si vor dem hole sten,,,,,
5552,erlSbestv in die inuart,,,derloubestu in eine vart,,,,,
5553,so ist din ere wol bewart,,,so wirt din ere wol bewart,,,,,
5554,ir sin dunchet mich so gut 3945,,,,,,,,
5555,'daz du mit in bist wol behut''',,,,,,,,
5556,,du ſolt in des danken ſer,,,,,,,
5557,,,,si dunkcnt mich so bidcrwc,,,,,
5558,,,,da enist nicht widere,,,,,
5559,,,,si kunnent dich wol behüte,,,,,
5560,,,,du schalt ouch I in mit guten,,,,,
5561,,,,danken und Ionen,,,,,
5562,,daz ſi durch dich ſint chomen her,,daz si durch di ncn willen her sint kumen,,,,,
5563,Sie sprah wie lieb ez ir ware,,,Si sprach daz werc ir vil lip,,,,,
5564,sie schölten sich dauor zware,,,si enscholten ouch \ davor nicht,,,,,
5565,liiht langer sumen,,,langer sich versumen,,,,,
5566,sie bat den wech rûmen 3950,,,si bat den wek rumen,,,,,
5567,,,,Wiinne si infingcn,,,,,
5568,,,,daz si wol enpfingen,,,,,
5569,des riehen Christes magedin,,,dos riehen rristis mcgetin,,,,,
5570,diu hiez sie wilchomen sin,,,si hiz si willekumon sin,,,,,
5571,,Si hiez ſey zvo ir gahen,,,,,,,
5572,,v#and+ begunde ſey enpfahen,,,,,,,
5573,ν bat sie nider sitzen,ſi pat ſei nid#aer+ ſitzen,,si bat si nider sieze,,,,,
5574,do cherten sie ir witze,do kerten ir witze,,du karten si ir wieze,,,,,
5575,wie sie daz kint bewarten 3955,wie ſi daz kint bewarten,,wi si daz kint bewarten,,,,,
5576,ein bat sie ime garten,ein pat ſi im garten,,ein bat si im garten,,,,,
5577,15 ν wnden ez mit flizze,v#and+ wunten ez mit fleizze,,und wunden ez mit ] vlizc,,,,,
5578,in diu tûch so wizze,in die leinwat weizze,,in di tuch so wize,,,,,
5579,mit lininen vadenien,mit leineinem vademe,,mit lininen vadcmen,,,,,
5580,twngen sie cesamene 3960,dwungen ſi zeſamene,,twungen si zusamene,,,,,
5581,den lichiname reine,den leichnamen reine,,den lichnam her und reine,,,,,
5582,ν daz uil heilige gebeine,v#and+ daz heilige gebeine,,und daz heilige gebeine,,,,,
5583,daz uns git ze lone,,,daz uns gibt zu lone,,,,,
5584,die untotliken chrone,,,di untotliche stole,,,,,
5585,vnd die engelisken wat 3965,,,und di eugelissche wat,,,,,
5586,vnt uch niemen verlat,,,di I euch nimant verlat,,,,,
5587,20 der im wil getruwen,,,wer im wil getruwe,,,,,
5588,mit samet uns wolte er buwen,,,daz wolt 1 er uns buwe,,,,,
5589,ν dolte daz gebende,,,und dolte daz gebende,,,,,
5590,uon wiplicher hende 3970,,,von wiplichen henden,,,,,
5591,Rachel vnt Salome,#rR+achel v#and+ ſalome,,Rachel und salome,,,,,
5592,die waren ze chindelbetten e,die waren ze kindelpette æ,,warn zu kindebetten e,,,,,
5593,gewesen alle zite,geweſen allezeit,,geweisen mange cite,,,,,
5594,über die gegen wite,in der gegende weit,,in der gegende wite,,,,,
5595,alle wipliche site 3975,alle weiplich ſit,,alle wipliche site,,,,,
5596,da sie gewone waren mite,da ſi gewandelt heten mit,,da si gewont waren mite,,,,,
5597,25 die waren in chunt durh not,die waren in kunt v#aer+re,,di warn in kunt von rechte,,,,,
5598,vnser trehtin in daz gebot,do gebot vnſer herre,,do gebot daz unsere trechten,,,,,
5599,do sie sin muter griffen,do ſi ſin m#suo+t#aer+ ane griffen,,do si sine multer angriffen,,,,,
5600,daz sie nider sliffen 3980,daz ſi nider ſliffen,,daz si aller nider sliffen,,,,,
5601,zu der erde fnr tot,z#svo+ der erde fur tot,,zu der erden wr tot,,,,,
5602,ir uarwe lieht ν rot,ir varbe weiz v#and+ rot,,ir varbe licht und rot,,,,,
5603,diu müse do erbleichen,m#suo+ſte vil gar erbaichen,,di muste do verbleich,,,,,
5604,sie spracheil daz sie daz zeichen,ſi ſprachen daz ſi daz zaichen her,,si sprachen daz si daz zeichen,,,,,
5605,nìen mere heten gesehen 3985,,,,,,,,
5606,v begundera des iehen,,,,,,,,
5607,in waere dicke gesaget,,,,,,,,
5608,daz komen schölte ein maget,,,,,,,,
5609,,nie gefrieſchen mer,,,,,,,
5610,,in hiet ir pyſchof geſagt,,,,,,,
5611,,dike v#aon+ einer magt,,,,,,,
5612,,,,e nime dervreisschsten ,,,,,
5613,,,,ir bischof und ir mcister,,,,,
5614,,,,di hettcn in diko daz gesagt,,,,,
5615,,,,daz kumcn schölte ein magt,,,,,
5616,diu ane man gebäre,#f56r+ div ane man gebære,,di an man gebere,,,,,
5617,sie iahen daz sie daz wäre 3990,ſi iahen daz ſi daz were,,si iahen daz si daz were,,,,,
5618,der elliu werlte ie gerte,,,,,,,,
5619,v an der sie got gewerte,,,,,,,,
5620,gnaden ν s aside an ende,,,,,,,,
5621,nfhuben sie die hende,,,,,,,,
5622,ν diu herze an der stunde 3995,,,,,,,,
5623,mit lobsprechentem munde,,,,,,,,
5624,35 durh div wnder diu sie sahen,,,,,,,,
5625,die chunden sie wol veruahen,,,,,,,,
5626,mit gutem ioh richem sinne,,,,,,,,
5627,daz gab in div gotes minne 4000,,,,,,,,
5628,Do hete der riche arme,,,,,,,,
5629,der mit sinem arme,,,,,,,,
5630,al den himel umbesloz,,,,,,,,
5631,,,,und derriten ez so schire,,,,,
5632,,,,vor vorchten was in leide und libe,,,,,
5633,,#rD+o het daz kint edele,,Do sprach daz kint edelc,,,,,
5634,ein selide smíéhe vil ungroz ,ein vil ſmæhe ſedele,,eine wenige selidc,,,,,
5635,doh er waere den klingen sippe 4005,den kvnigen waz ezſippe,,den kunige ez was gesippc,,,,,
5636,er wolt sih in die chrippe,doch wolt ez in die krippe,,doch wolte ez in di \ krippe,,,,,
5637,da legen lazzen,ſich legen lazzen,,sich legen lazen,,,,,
5638,da diu rinder uz azzen,da div rinder ovz azzen,,da di rindere uz azcn,,,,,
5639,dar trugen in die fröen,,,dar trulgen ez di vrouwen,,,,,
5640,sie musen wilder scöen 4010,,,si musten wunder schouwen,,,,,
5641,an dem kinde here,,,an I deme sune here,,,,,
5642,der wissagen lere,,,der wissagen lere,,,,,
5643,diu wart erfüllet daran,,,di wart erfüllet dar ane,,,,,
5644,wand er sih zêigen began,,,,,,,,
5645,,,,wanne er wiset den wane,,,,,
5646,,,,über alle herschef tc,,,,,
5647,,,,in siner mankrefte,,,,,
5648,do stunt ein esel ν ein rint 4015,da ſt#suo+nt ein eſel v#and+ ein rint,,da stunt ein esol und ein rint,,,,,
5649,daz keiserliche kint,daz keiſerleiche kint,,daz vil keiserliche kint,,,,,
5650,daz erkanten sie bediv,erkante ſi beide,,daz erkanten si do beide,,,,,
5651,got der gab in under div,got gab in ane laide,,got der gab in eine,,,,,
5652,einen iierstantliclien m fit,verſtantlichen mvot,,verstantlichen mut,,,,,
5653,ν der sin wart in so gut 4020,mit ſinnen alſo g#suo+t,,und den sin also gut,,,,,
5654,sie vielen nider an diu knie,ſi vielen nider an die knie,,si vilen nidcr an di kni,,,,,
5655,daz gescah dauor nie,daz geſchach vore nie,,daz gesch ach ouch vor ni,,,,,
5656,sie erten ir schepfaere,,,,,,,,
5657,,ſi ſ#suo+chten mit d#aer+ menige,,si suchten ire venje,,,,,
5658,,uil v#and+ d#aer+ venie,,mit vor …,,,,,
5659,,vor des himeles orthaben,,,,,,,
5660,,ſwaz div zunge niht moht geſagen,,,,,,,
5661,daz duten ir gebaere,daz zaige ir gebere,,,,,,,
5662,y daz da komen waere 4025,daz da komen were,,,,,,,
5663,aller werlte herre,aller werlte h#aer+re,,,,,,,
5664,des wnderot verre,do wundert auer verre,,,,,,,
5665,die ammen ν oh den grisen,,,,,,,,
5666,mit lobe begunden sie brisen,,,,,,,,
5667,daz div sinnelosen tîere 4030,,,,,,,,
5668,uersinneten sih so schiere,,,,,,,,
5669,der milten gotes gute,,,,,,,,
5670,'der mseit mutei'' gemute',,,,,,,,
5671,stunt in richer frode,,,,,,,,
5672,durh des kindes beschode 4035,,,,,,,,
5673,daz sie sah ν umbevie,,,,,,,,
5674,daz sie chust vñ tigen líe,,,,,,,,
5675,ν an ir brüst lêite,,,,,,,,
5676,der engel schare chomen gereite,,,,,,,,
5677,ν waren ir diensthaft 4040,,,,,,,,
5678,durh die nivwegeborn herschaft,,,,,,,,
5679,,die ammen die daz ſahen ,,,,,,,
5680,,fur war ſi des iahen,,,,,,,
5681,,daz ſi ez niemer gehorten,,,,,,,
5682,,mit lobelichen worten,,,,,,,
5683,,lobten ſi den heilant,,,,,,,
5684,,der ſi dar het geſant,,,,,,,
5685,,#rI+oſeph d#aer+ greiſe man,,,,,,,
5686,,michel frevde gewan,,,,,,,
5687,,do liez div magt mêre,,,,,,,
5688,,daz kint ruoben ane ſwere,,,,,,,
5689,Armiv liute nahen lagen,#rA+rme levte waren,,,,,,,
5690,die ir uihes pflagen,,,,,,,,
5691,an der heren nahte,,,,,,,,
5692,mit geselleklicher wâhte 4045,,,,,,,,
5693,,die viheſ niht enbaren,,,,,,,
5694,,die waren an daz velt,,,,,,,
5695,,v#and+ ir vihe gezelt,,,,,,,
5696,,des nahteſ ſi ſich m#suo+ten,,,,,,,
5697,,v#and+ woltes ez beh#sue+ten,,,,,,,
5698,,vor den wolfen rêzzen,,,,,,,
5699,,#f56v+ daz ſi ez niht enfrezzen,,,,,,,
5700,,ir wahte ſi pflegten,,,,,,,
5701,,als in geboten heten,,,,,,,
5702,,ir meiſter v#and+ ir wirtte,,,,,,,
5703,,ia trugen auch die hirtte,,,,,,,
5704,sie trugen kolben ν bogen,grozze kolben v#and+ bog#aen+,,,,,,,
5705,do chom ein engel geflogen,do kom ein engel geflogen,,,,,,,
5706,25 zv in mit grozzem glaste,,,,,,,,
5707,sie erkomen uon dem gaste,,,,,,,,
5708,er tröste sie ν saget in m aere 4050,,,,,,,,
5709,wie der heilant geborn wäre,,,,,,,,
5710,,michel was div claritas,,,,,,,
5711,,v#and+ der ſchein d#aer+ da was,,,,,,,
5712,,do der geweltige bote,,,,,,,
5713,,die mere ſagte von gote,,,,,,,
5714,,erchomen waren die knehte,,,,,,,
5715,,do troſte ſi mit,,,,,,,
5716,,div engliſche g#suo+te,,,,,,,
5717,,v#and+ freute ir gem#suo+te,,,,,,,
5718,er sprah ivwer sorgen ir lat,#rE+r ſprach ewer ſorge verlat,,,,,,,
5719,ich chunde iv waz got hat,,,,,,,,
5720,nu gnaden begangen,,,,,,,,
5721,er hat an sih enpfangen 4055,,,,,,,,
5722,daz bild siner hantgetat,,,,,,,,
5723,durh den uaterlichen rat,,,,,,,,
5724,daz er die werlt alle,,,,,,,,
5725,erlose uon dem ualle,,,,,,,,
5726,den der eriste menniske tet 4060,,,,,,,,
5727,uz der wnneklichen stet,,,,,,,,
5728,in ditze chlagliche tal,,,,,,,,
5729,nu ist div schulde ν der ual,,,,,,,,
5730,Adames gar uerchorn,,,,,,,,
5731,,ich ſag iv wie ez ergat,,,,,,,
5732,,ein freyde iſt errunnen,,,,,,,
5733,,vber allez menniſchen kunne,,,,,,,
5734,,der sult ir ouch geniezzen,,,,,,,
5735,,deſ ſol evch niht ver driezzen,,,,,,,
5736,,adames ſchulde iſt ver lorn,,,,,,,
5737,iv ist der heilant geborn 4065,iv iſt geborn,,,,,,,
5738,mit fleiske ν gebeine,ein hail mit fleiſche v#and+ mit gebeine ,,,,,,,
5739,div fròde ist gemêine,ſin frevde wirt gemaine,,,,,,,
5740,der schult oh ir geniezen,,,,,,,,
5741,daz die wissagen gehiezzen,,,,,,,,
5742,ivweren altfordern 4070,,,,,,,,
