Meisterzählung,D,A,B,C,E,F,G,W,Notizen
5122,wie ſcholten wir die zebrechen,wie ſolt wir daz zeprechen,,,,,,,
5123,ſinnes ſchulen wir walten 3635,Sinnes ſul wir walten,,,,,,,
5124,v#and+ unſer e behalten,wir m#sve+zz#aen+ die æ behalten,,,,,,,
5125,e man unſ des libeſ r#sov+be,æ man vnſ des leibes beraube ,,,,,,,
5126,vil wol ich daz gl#sov+be,wie wol ich des getrowe,,,,,,,
5127,daz ich bi minem geſlæhte,daz ich bey minem geſlehte,,,,,,,
5128,miſſetun nîen mæhte,miſſetuon iht en mæhte,,,,,,,
5129,ioſebe geuîel d#siv+ rede wol,#rI+oſeph geviel div rede wol,,,,,,,
5130,er ſprah wie gerne ich dir uolgen ſchol,,,,,,,,
5131,,er ſp#ara+ch wie ger ich ſol,,,,,,,
5132,,dines gebotes warten,,,,,,,
5133,mih dunchet daz wir ceharte,mich dunket daz wir zeharten,,,,,,,
5134,haben gelenget diſe uarte,gelenget haben diſe vart,,,,,,,
5135,ſin w#^æ+re uolleklichen zit 3645,,,,,,,,
5136,do cherte diu niftel dauit,,,,,,,,
5137,,div vrowe des enain wart,,,,,,,
5138,,ſein wer zeit vil g#sue+te ,,,,,,,
5139,,do kerte div raingem#suo+te,,,,,,,
5140,gêin bethleh#aem+ die ſtrazze,ze #rB+ethlehem die ſtrazzen,,,,,,,
5141,ſie wolte ſih brieuen lazzen,ſi wolt ſich briefen lazzen,,,,,,,
5142,fr#sov+de vnde wnne,,,,,,,,
5143,muſe ir da begegene,,,,,,,,
5144,uon des kindes ſegene,,,,,,,,
5145,,mit andren iren #f52r+ magen,,,,,,,
5146,,ze den ſelben tagen,,,,,,,
5147,,erſchain ir frevnden wunne,,,,,,,
5148,,liehter danne ein ſunne,,,,,,,
5149,ſie fur dar froliche,ſi f#suo+r fr#soe+lich,,,,,,,
5150,ir dienten willek#f66r+liche,ir dienten tougenlich,,,,,,,
5151,der engel geſin#lde+ g#suo+t 3655,,,,,,,,
5152,uon #lde+n waſ #zſie wol+ beh#svo+t,,,,,,,,
5153,,mit fleizze d#aer+ engel ſchar ,,,,,,,
5154,,der vrowen wunnechlich gevar,,,,,,,
5155,#iD+er himiliſke uater guter,#iD+er himiliſche vater g#suo+ter,,,,,,,
5156,der wolte do ſine m#suo+ter,wolte ſeine m#suo+ter,,,,,,,
5157,chumftiger dinge,chumftiger dinge,,,,,,,
5158,an ein ende bring#aen+ 3660,an ain ende bringen,,,,,,,
5159,ein grozziu t#sov+gen,aine grozze tovgen,,,,,,,
5160,div ſant er ir ze #sov+gen,,,,,,,,
5161,,liez er ſey an ſchowen,,,,,,,
5162,die anders niemen ſach,die and#aer+ niemen ſach,,,,,,,
5163,wand ſie di ſcham nîe zebrah,wan ſi ir ſcham nie zebrach,,,,,,,
5164,magetlicher gute 3665,,,,,,,,
5165,unt in der kivſche blute,,,,,,,,
5166,,ir wart geoffenot,,,,,,,
5167,,do ir lieber ſun gebot,,,,,,,
5168,bi dem wege ſah ſie ſtân,bey dem wege ſach ſi ſtan,,,,,,,
5169,bediu wib vn#lde+ man,paide weip v#and+ man,,,,,,,
5170,ietwederhalben zen ſiten,bedenthalb ze den ſeiten,,,,,,,
5171,engegen ir ſo witen 3670,,,,,,,,
5172,,an dem wæge weiten,,,,,,,
5173,ein uolch vnt ein #f63v+ſchar,ein volk v#and+ aine ſchar,,,,,,,
5174,diu chom uil truriklichen dar,chom vil trovrechlichen dar,,,,,,,
5175,die wnden die hende,die wunden die hende,,,,,,,
5176,in iſinine gebende,in eyſnein gebende,,,,,,,
5177,waren ſie geſlozzen 3675,waren ſi beſlozzen,,,,,,,
5178,mit zæheren begozzen,mit zeheren begozzen,,,,,,,
5179,ſie chlageten unmazze,ſi chlagten vnmazzen,,,,,,,
5180,anderhalp der ſtrazze,anderhalb bey der ſtrazzen,,,,,,,
5181,ſt#suo+nte ein ſchar tugentliche,ſt#suo+nt ein ſchar michel,,,,,,,
5182,harte fr#sov+deriche 3680,,,,,,,,
5183,lieht unt ſicher uor lei#lde+,vor allem leide ſich#aer+,,,,,,,
5184,ſie heten uolle #^w+ei#lde+,,,,,,,,
5185,wnneklichiu ſpil,,,,,,,,
5186,alles liebes #avnd+ eren uil,,,,,,,,
5187,ſie waren ſchone gechleit 3685,,,,,,,,
5188,in wizzer wæte gemeit,,,,,,,,
5189,,die waren vngebunden,,,,,,,
5190,,trouren ſi niht kvnden,,,,,,,
5191,,ſi heten geiſtliches ſpil,,,,,,,
5192,,v#and+ ander frevde vil,,,,,,,
5193,Joſebe ſie do ſagete,#rI+oſeph ſi do ſagte,,,,,,,
5194,waz ſie geſehen habete,was ſi geſeh#aen+ habte,,,,,,,
5195,uon #lde+n zwein ſcharen,,,,,,,,
5196,der liehten #avnd+ der miſſeuaren 3690,,,,,,,,
5197,#f64r+ daz gel#sov+bet er trage,er gelaubt ez ze trage,,,,,,,
5198,vn#lde+ ent#^w+alte mit der frage,,,,,,,,
5199,,v#and+ het den heine frage,,,,,,,
5200,wie dem dinge mohte ſin,wie dem dinge #f52v+ mohte geſein,,,,,,,
5201,#lde+s erſchamte ſich diu kunigin,des erſchamte ſich daz magedein,,,,,,,
5202,do ſie daz mære uerlie 3695,daz ſi daz mere v#aer+lie,,,,,,,
5203,uf dem wege ſie ergie,vor in an dem wege gie,,,,,,,
5204,ein knappe ſchone ân bart,ein knappe ſchone ane part,,,,,,,
5205,ir geuerte er do wârt,ir gev#aer+t er do wart,,,,,,,
5206,daz waſ ein kint luſſam,daz was ein wunnechlicheſ kint,,,,,,,
5207,als ez uon rehte gezam 3700,,,,,,,,
5208,dem geſin#lde+ uor gote,,,,,,,,
5209,daz ceſinem gebote,,,,,,,,
5210,iemer ſtat #avnd+ iemer uert,,,,,,,,
5211,wan ez fur in niht liebes gert,,,,,,,,
5212,,als alle die ſint,,,,,,,
5213,,die ze himel ſint erkant,,,,,,,
5214,,v#and+ geſant von goteſ hant,,,,,,,
5215,in dem bil#lde+ erſchêiner 3705,in dem bilde er in erſchain,,,,,,,
5216,ſam er #lde+r liute wære einer,ſam er wer der levt ein,,,,,,,
5217,die zebethleh#?z+em wolten,der wolte varen ze bethlehem,,,,,,,
5218,#avnd+ da zinſen #f64v+ ſcholt#aen+,,,,,,,,
5219,des ſelben heten ſie #^w+an,,,,,,,,
5220,#avnd+ ſahen in gerne mit in gan 3710,ſi ſahen in gerne mit in gen,,,,,,,
5221,do taten ſie re#lde+ genuge,,,,,,,,
5222,alſo f#suo+zze #avnd+ gefuge,,,,,,,,
5223,uon der naheten herſchaft,,,,,,,,
5224,von gotes gute #avnd+ ſiner chraft,,,,,,,,
5225,ir herze waren reine 3715,,,,,,,,
5226,in rehter minne gemejne,,,,,,,,
5227,#iD+o ſprah #lde+r iungelinch,#rD+o ſprach der ſchone iungelink,,,,,,,
5228,ich horte wol daz tæidinch,ich horte wol daz taydink,,,,,,,
5229,daz e waſ under iv,,,,,,,,
5230,do ich chom gegangen zu iv 3720,,,,,,,,
5231,uon #lde+n gwaltigen t#sov+gen,,,,,,,,
5232,d#siv+ mæhte ioſeph wol gel#sov+ben,,,,,,,,
5233,,daz ir het mit einander,,,,,,,
5234,,die maht dv ane allez wandel,,,,,,,
5235,,wol gelauben #rI+oſeph,,,,,,#f1r/1+[…] ioſep,
5236,daz ſin ſin fremdliche ſtat,,,,,,,daz ſin huge frumelichen ſtet,
5237,ze#lde+n din#f65r+gen die got hat,,,,,,,,
5238,ûf dem wege beſchêin#&+ 3725,,,,,,,,
5239,,daz dein zweivel ſo ſtet,,,,,,,
5240,,gen diſer vrowen raine,,,,,,,
5241,,,,,,,,ce drrre be ceige,
5242,daz en weiz ich waz meinet,mich wundert was daz maine,,,,,,mih wndert waz daz meine,
5243,ioſeph hore herze mir,Ioſeph hore her zvo mir,,,,,,ioſep hore […],
5244,die warheit ſage ich dir,die warheit wil ich dir,,,,,,,
5245,zedîvte an diſen ſtunden,,,,,,,,
5246,,vil redelichen kunden,,,,,,,
5247,die die hende ſo wnden 3730,die die hende wunden,,,,,,,
5248,#avnd+ angeſtliche gebârten,,,,,,,,
5249,,v#and+ chlagten ſo harte,,,,,,#f1r/3+[…]ten harte,
5250,die habent die wingart#aen+,die habent den weingarte,,,,,,di habent di w#zi+ngarten,
5251,gotes niht erbuwen,gotes niht erbowen,,,,,,goteſ niht erbuwen,
5252,daz m#suo+z ſie bal#lde+ riwen,daz m#suo+z ſi harte riwen,,,,,,daz muz ſi balde riuwen,
5253,daz iſt d#siv+ iudiſke diet 3735,daz iſt div #rI+vdiſche diet,,,,,,daz ist diu #f1r/4+ iudiſche diht,
5254,d#siv+ die wiſſagen uerrîet,div die weiſſagen ver riet,,,,,,di die wiſſagen uerr[…],
5255,die in da waren geſant,die in da waren geſant,,,,,,[…] waren geſant,
5256,uon des oberiſten hant,von d#aer+ gotes #f53r+ hant,,,,,,uon der oberiſten […],
5257,die habent vil grimmigez m#suo+t,,,,,,,die wa[…],
5258,daz vil unſchuldige blut 3740,daz vil vnſchuldige bl#suo+t,,,,,,,
5259,daz iſt hinze in gerunnen,daz iſt z#svo+ in gerunnen,,,,,,,
5260,ſie ſint dem hirte entrunnen,dem hirt ſint ſi entrunnen,,,,,,#f1r/6+ [...] entrunnen,
5261,mit #lde+m ſi geneſen ſcholten,,,,,,,,
5262,,,,,,,,der ſi behalten ſolde,
5263,ob ſiz dienen wolten,,,,,,,ob ſie daz dienen wolten,
5264,ir ubele hat in uerteilet 3745,ir ſunde hant in v#aer+tailet,,,,,,ir ubel hat in uertailet,
5265,des gent ſie geſeilet,,,,,,,,
5266,,daz iſt daz ſi bewainent,,,,,,daz iſt #f1r/7+ daz ſi weinent,
5267,mit mit vivrinen ban#lde+n,mit fevreinen banden,,,,,,mit fiurinen banden,
5268,innoten #avnd+ grozz#aen+ ſc#zh+anden,,,,,,,,
5269,,von den valanden,,,,,,uon dem ualande,
5270,,werdent ſi genichet,,,,,,werdent ſi beſtricket,
5271,ſint ſie iemer beſtricket,v#and+ ewichlich beſtrichet,,,,,,,
5272,ir ere div iſt genicket 3750,,,,,,,ir ere ist benic#f1r/8+ket,
5273,#avnd+ beriht#&+ ſih nîenmere,,,,,,,die berihtent ſich nimmer mere,
5274,#lde+s chlageten ſie alſo ſere,,,,,,,,
5275,,,,,,,,ia wollent ſi leider keren,
5276,,,,,,,,ce dem wirſerem teile,
5277,,,,,,,,ir #f1r/9+ herze iſt #suo+nreine,
5278,#iD+ie an#lde+rhalp da fr#sov+de hant,#rD+ie auer die frevde habent ,,,,,,#iD+ie da mandunge habent,
5279,#avnd+ in liehter wate ſtant,,,,,,,,
5280,,v#and+ ſich wunnechleich gehabent,,,,,,unde ſich frolichen tragent,
5281,daz ſint die becherten 3755,daz ſint die be cherten,,,,,,daz ſint di bekerten,
5282,die got wilen êrten,,,,,,,,
5283,,die weilen nieman lerte,,,,,,#f1r/10+ die wilent niemam lerte,
5284,die enpfahent n#suo+ gote#?s+ ſvn,die enpfahent den goteſ ſvn,,,,,,di enphahent nu den goteſ ſ#suo+n,
5285,der in ſin gna#lde+ wil tun,der in genade wil t#suo+n,,,,,,der in genade wil tun,
5286,die belibent niht zeder winſter,die beleibent niht ze der vinſtren,,,,,,di belibent #f1r/11+ niht ce den uinſteren,
5287,ſie gahent uon #lde+r vinſter 3760,ſi gahent von der winſt#aer+en,,,,,,ſi gahent zu got uon den winſteren,
5288,in die liehten ſunne,in die liehten ſunnen,,,,,,zu dem liehtem ſunne,
5289,#avnd+ badent ſih vz #lde+m b#?arv+nne,v#and+ badent ovz dem brunnen,,,,,,ſi badent #f1r/12+ uz dem brunnen,
5290,#f65v+ da allez meil uerſwindet,da ſich der gaiſt enpindet ,,,,,,der ellen meil uerſwendet,
5291,vn#lde+ ſie der geiſt enbindet,v#and+ aller pein ver ſwindet,,,,,,v#and+ ſich der geiſt enbindet,
5292,uon totlichem gebende 3765,mit gotelichem gepende ,,,,,,uon totlichem ge[…],
5293,der iuden miſſewende,der Iuden miſſewende,,,,,,,
5294,diu wirt #lde+r heidenſchefte troſt,wirt d#aer+ haidenſchte troſt,,,,,,,
5295,der tîeuil garwet ſinen roſt,d#aer+ tiefel gerwet ſinen roſt,,,,,,,
5296,da er die verworhten,v#and+ epheht die ver worhten,,,,,,#f1v/1+ da emphaheter di uer worhten,
5297,enpfahet die gotes uorhten 3770,die div goteſ vorhten,,,,,,deſ goteſ forhten,
5298,nîen wellent lernen,niht wellent lernen ,,,,,,niht wollent lernen,
5299,ioſeph #lde+r horte gerne,#rI+oſeph horte gerne,,,,,,ioſep horte gerne,
5300,daz er im die rede ſo beſchîet,daz er imz alſo beſchiet,,,,,,,
5301,die iſraheliſk#aen+ diet,div Iſraheliſche diet,,,,,,,
5302,die began er weinen heîzze 3775,bewainte er vil haizze,,,,,,,
5303,daz ſie habrahames geheizze,daz ſi Abrahames gehaizze,,,,,,,
5304,alſo ſcholte uerlieſen,alſo ſolten ver lieſen,,,,,,#f1v/3+ alſo ſolten flieſen,
5305,#avnd+ den ewigen tot kieſeN,v#and+ ewige damn#sun+ge #f53v+ erkieſen,,,,,,di ewigen damnunge kieſen,
5306,#iB+edaz div rede was getan,#rE+ daz div rede was getan,,,,,,#iA+lso diu rede waſ ergan,
5307,#lde+r abent begun#lde anegan 3780,der abent begunde ane gan,,,,,,,
5308,,,,,,,,der abent ende genam,
5309,diu ſunne ni#lde+r ſigen,div ſunne begunde ſeigen,,,,,,#f1v/4+ […] nigen,
5310,d#siv+ naht #lde+n tach uertriben,,,,,,,diu naht den tac uer[…],
5311,,div naht z#svo+ ſtegen,,,,,,,
5312,alſ in do geſweich daz lieht,als in geſwaich daz himel lieht,,,,,,[…] ſweih daz himel lieht,
5313,ioſep #lde+r getruote nieht,#rI+oſeph der getroute nieht,,,,,,ioſep ge[...],
5314,uolchomen an die ſtat 3785,vollen chomen in die ſtat,,,,,,,
5315,unſer fr#sov+en er gebat,vnſer vrowen er bat,,,,,,,
5316,daz ſie geruhte un#lde+r wegen,daz ſi ger#suo+chet vnd#aer+ wegen,,,,,,,
5317,ane ein bette ſih gelegen,,,,,,,#f1r/6+ bette ſih gelegen,
5318,,naht ſelde pflegen,,,,,,,
5319,untze an#lde+n an#lde+rn morgen,vnz an den and#aer+en mororgen,,,,,,unze anden andren morgen,
5320,do dwngen ſie die ſorgen 3790,do twungen ſey die ſorgen,,,,,,do twngen ſi die ſorgen,
5321,daz ir mæitweſen#lde+r lip,,,,,,,daz ir uil heiliger lip,
5322,wol erkante ſine zit,,,,,,,#f1v/7+ uil wol weſſe ſine cit,
5323,ſie ſprah ſwie ſpætez unſ werde,ſi ſprach ſwie ſpat ez werde,,,,,,ſie ſprahc ſwi ſpete ez […]de,
5324,wirne ſchulen die herberge,wir ſulen die herberge,,,,,,wir ſulen di herberge,
5325,anderſwa nien#lde+r ſuchen 3795,alswa nind#aer+ ſ#suo+chen,,,,,,anderſ niend#aer+ #f1v/8+ finden,
5326,wil ſin got gervcheN,v#and+ wil ſein got ger#suo+hen,,,,,,wil ſin got geruchen,
5327,wan indauidis purge,,,,,,,wan in dauides burge,
5328,,wan ze #rB+ethlehem in der ſtat,,,,,,,
5329,uil lihte ez unſ ſcade wrde,vil leiht ich ſchaden hæt,,,,,,uil lihte unſ ſcade wrde,
5330,ſcholten wir anders ien#lde+r ſin,ſolt ich alſwa ind#aer+ ſein,,,,,,#f1v/9+ […] andreſiender ſin,
5331,erfull#&+ ſint die tage min 3800,erfult ſint die tage mein,,,,,,er follet ſint di tage min,
5332,daz ich muter wer#lde+n ſchol,daz ich m#svo+ter werden ſol,,,,,,daz ich m#suo+ter werden ſcol,
5333,#f66r+ daz iſt inminer ahte wol,,,,,,,,
5334,ich bringe #lde+n gewaltigen wirt,,,,,,,,
5335,,ich bringe kouf v#and+ zol,,,,,,ich bringe #f1v/10+ kouf unde zol,
5336,,,,,,,,di uil reinen miete,
5337,,,,,,,,die bringe ich all[…],
5338,,,,,,,,den gewaltigen huſ wirt,
5339,#lde+n ſin eigen div gebirt,,,,,,,den #f1v/11+ ſin eigenen diu gebirt,
5340,als er mir herre gebot 3805,,,,,,,,
5341,uol varn m#suo+z ich durh die not,,,,,,,,
5342,,,,,,,,alſo mir daz lebe[…]de b[…]t,
5343,,,,,,,,bi ſinem engel enbot,
5344,alſ ez umbe mitte naht wart,Als ez mitev naht wart,,,,,,alſ ez mitten #f1v/12+ naht wart,
5345,do gab der mage#lde+ inuart,do gab der magt invart,,,,,,do gab der megede inuart,
5346,bethlehême ir gruzſal,zebethlehem der ſtet ſal,,,,,,ce betlehem daz gruzſal,
5347,do ne mahte #sov+h d#siv+ ir zal 3810,do moht lenger ir zal,,,,,,do ne mohte ir zal,
5348,niht langer haben friſt,ha#aben+ denhaine friſt,,,,,,niht […],
5349,der uorgewiſſagte chriſt,der vorgeſprochene chriſt,,,,,,,
5350,wolte ſelbe do zeigen,d#aer+ wolte ſich erzaigen,,,,,,,
5351,daz ſih #lde+r himel neigen,,,,,,,,
5352,ſcholte zu der er erde 3815,,,,,,,,
5353,do in gebar div wer#lde+,,,,,,,,
5354,,v#and+ ſine g#sue+te naigen,,,,,,#f2r/1+ […] muſte neigen,
5355,#66v+ Div fr#sov+e entwêlen muſe,#rD+iv vrowe m#suo+ſt entwalen,,,,,,#iD+iu urowe muſe entweln,
5356,bi einer ſmæhen chluſe,bey ainer zellen ſmâhen,,,,,,bie einer boſen celle,
5357,diu himiliſke porte,div himiliſche porte ,,,,,,diu himeliſche […],
5358,die got mit ſinem worte 3820,,,,,,,di got […],
5359,erwelt unſ ze heile,,,,,,,,
5360,,div ſwanger wart von goteſ worte,,,,,,,
5361,,aller werlde zehail,,,,,,,
5362,diu geſah ineinem ſtêine,div ſach an einem tail,,,,,,,
5363,ein vil wenigez l#suo+ch,eine wenige #f54r+ luke,,,,,,,
5364,ir wille ſie dar getruch,ir noturft ſey darin tr#suo+k,,,,,,#f2r/3+ […] truk,
5365,daz ſie dar in trat 3825,daz ſi darin trat,,,,,,daz ſi dar in trete,
5366,#avnd+ ſich da hete geſat,,,,,,,,
5367,,v#and+ ez ze houſe hat,,,,,,u#and+ ez cehuſe hete,
5368,daz enchom niht uon geſchihte,daz kom niht von geſchihte,,,,,,daz en kom ir niht uon geſtrikte,
5369,daz ſie in alrihte,daz ſi algerihte,,,,,,daz ſi enalrihte,
5370,in #lde+m vinſteren hol,in dem vinſtern hol ,,,,,,#f2r/4+ indem hol,
5371,ſcholte r#suo+wen ſo wol 3830,ſolte geberen alſo wol,,,,,,ſolde r#suo+wen alſo wol,
5372,di chriſtes predigære,Die chriſteſ predigere,,,,,,di criſteſ predegere,
5373,die heten uor manigem iare,,,,,,,heten uon manegen iaren ,
5374,uor geſcriben #avnd+ geſaget,,,,,,,vor erkundet […],
5375,wie d#siv+ muter #avnd+ maget,,,,,,,,
5376,,weiſſagten diſe mære,,,,,,,
5377,alſo ſcholte gebern 3835,vor wie ſi ſolt gebern,,,,,,,
5378,un#lde+ unſ #lde+ſ herr#aen+ gewern,v#and+ des herren geweren,,,,,,,
5379,der zeuoget wrde gezalt,,,,,,,#f2r/6+ […]gte wrde ge calt,
5380,fur #lde+s tieuels gewalt,,,,,,,for deſ tiuveleſ gewalt,
5381,do ſie gie inden ſtêin,do ſi gie in den ſtein,,,,,,do ſi gienc inden ſtein,
5382,do luhte #avnd+ erſchêin 3840,do erlouhte v#and+ er ſchain,,,,,,d[…] er luhte unde erſcein,
5383,ein michel lieht dar inne,ein michel lieht darinne,,,,,,ein michel lieht dar inne,
5384,gegen der kuniginne,gen der kuniginne,,,,,,gegen der kuneginne,
5385,die wile daz ſie da beleib,die weile daz ſi da belaip,,,,,,die wile u#and+ ſi da beleip,
5386,die vinſter daz lieht uertreib,daz lieht die vinſt#aer+ v#aer+traip,,,,,,daz lieht di ueinſtere #f2r/8+ uertreip,
5387,ſam da ein fîvr brunne 3845,,,,,,,ſam da kerzen brunnen,
5388,oder d#siv+ perhtel ſunne,,,,,,,oder diu lihte ſunne,
5389,uertribe daz genibele,,,,,,,uer tribe daz genibele,
5390,uz dem ir geſidele,,,,,,,uz dem #f2r/9+ ir geſidele,
5391,ſie gebot dem man zehante,ſi gebot dem alten manne,,,,,,ſi gebot dem altem manne,
5392,daz er ſinen flîz wante 3850,,,,,,,,
5393,heveammen ze bringen,,,,,,,,
5394,die ſie in ir dingen,,,,,,,,
5395,,daz er ire ein amme,,,,,,daz er gute ammen,
5396,,eilte gewinnen,,,,,,ilte gewinnen,
5397,,die ſi mit dem kinde,,,,,,di ſi mit dem kin#f2r/10+de,
5398,wol bewâren chunden,wol bewaren kunde,,,,,,wol bewarn kunden,
5399,die hete er ſchiere fun#lde+n,die het er ſchiere funden,,,,,,di het er ſcire funden,
5400,rachel hiez diu eine 3855,#rR+achel hiez div aine,,,,,,rachel hiez diu eine,
5401,diu gahte zu #lde+m ſtêine,div gahte z#svo+ dem ſtaine,,,,,,diu ilte gegen dem ſteine,
5402,ſalome damite gîe,ſalome damit gie,,,,,,#f2r/11+ ſalome da mite gie,
5403,#lde+r herre ſie niht uerlie,der herre ſi niht ver lie,,,,,,der ſi nie uerlie,
5404,#f67r+ untze er ſie brâhte an die ſtat,,,,,,,,
5405,als diu fr#sov+e gebat 3860,,,,,,,,
5406,,er bot in ſine miete,,,,,,,
5407,,der ſeligen diete,,,,,,,
5408,,,,,,,,ſi musen in beraten,
5409,,,,,,,,er bot in groze mite alſo drate,
5410,#iI+oſeph der alte,,,,,,,#f2r/12+ #iI+oſep der […] alte,
5411,der uil einvalte,,,,,,,dr uil einualte,
5412,#lde+r ſenfte vnd der gute,,,,,,,der milte unde der gute,
5413,,von ſin#aer+ grozz#aer+ g#sue+te,,,,,,,
5414,vil lutzel in daz mute,luzel in daz m#suo+te ,,,,,,w[…] lutzel ez in m#suo+te,
5415,daz er daz allez antruch 3865,,,#f44/C2+ [...] truk,,,,daz er daz […],
5416,wan ſwes diu fr#sov+e ie gewch,swes div vrowe gew#suo+k ,,wanne wes di vrouwe #dgnuk+ gewuk,,,,,
5417,#avnd+ ſwar ſie in wolte ſen#lde+n,,,vnd w#?a+r ſi in wolte ſende,,,,,
5418,daz chun#lde+ er wol ueren#lde+N,,,,,,,,
5419,,gedultichlich er daz v#aer+tr#suo+k,,,,,,,
5420,,,,daz brachte er an ein ende,,,,,
5421,Do er under wegen wa#?s+,#rD+ie weil er vnd#aer+ wegen was,,do er vnt#aer+ weg#aen+ was,,,,#f2v/1+ do […]de[…]waſ,
5422,do chom d#siv+ zit daz ſie gnaſ 3870,do kom div zeit daz ſi genas,,do kom di zit daz ſi genas,,,,do kom diu […]t daz ſi genaſ,
5423,diu geburt ſanfte ergie,,,,,,,,
5424,wan ſie in âne meil enpfie,,,,,,,,
5425,#avnd+ ane ſunde gebar,,,,,,,,
5426,von rehte ir lei#lde+s nien wâr,,,,,,,,
5427,,div geburt tet ir niht wæ,,di geburt tet ur nicht we,,,,diu geb[…] niht we,
5428,,obſtetricum uice,,obſtet#ari+c#aum+ vice,,,,obſtetricum vi[…],
5429,ir waren #f67v+ die engele bi 3875,ſt#suo+n#aden+ die engel da bey,,ſt#aun+den di engele dabi,,,,,
5430,die taten ſie ſorgen vrî,,,,,,,,
5431,,da div magt ſunden frey,,do di maget edele vnd vri,,,,,
5432,do ſie brahte den heilant,zaigte den hailant,,zeigte den heilant,,,,,
5433,der diu irdiſken lant,den alle reiche #f54v+ v#and+ alle lant,,d#aer+ alle rich vnd lant,,,,#f2v/3+ […] lant,
5434,vnſ ze hæile wolte ſc#sov+en,ovf genade wellent schowen,,uf gnade wolte ſchouwen,,,,vf genade wolte ſcowen,
5435,iane was #sov+h bi #lde+r fr#sov+en 3880,ia was ouch bey der vrowen,,io was ouch bid#aer+ vrouwen,,,,ie ne waſ […] bi den urowen,
5436,nehein wertlicher lip,weder man noch weip,,wed#aer+ man noch wip,,,,weder man noch wip,
5437,enweder man noh wip,noch den hain yrdiſcher leip,,noch kein irdiſſch#aer+ lip,,,,noch #f2v/4+ dehein irdiſer lip,
5438,wirdik was des niemen,wirdik waz des nieman,,wirdig was des nimen,,,,wirdec waſ deſ niemen,
5439,da die engele ſcholten dienen,da die engel ſolten dienen,,da di engele ſcholt#aen+ dinen,,,,da di engele ſolten dienen,
5440,,daz er da mit were,,daz er da were,,,,daz er damit were,
5441,,v#and+ die herſchaft an ſehe,,dih#aer+ſchaft ane ſehe,,,,die her[…],
5442,dem gotlichem geſlæhte 3885,das goteliche geſlehte ,,daz gotlich geſlechte,,,,,
5443,wir horen an der heren nahte,wir horen ze weinahte,,wi h#soe+rn zu wihennacht#aen+,,,,,
5444,,die geiſtlichen hirtte,,di geiſtlich#aen+ hirten,,,,,
5445,,von des himels wirte,,v#aon+ des himels wirte,,,,#f2v/6+ […] wirte,
5446,groz ere #lde+r werlte chun#lde+n ,michel ære kunden,,michele ere kunden,,,,michel ere kvnden,
5447,doh mugen wirz niht ergrun#lde+n,doch mugent ſi niht ergrunden,,doch enmug#aen+ ſis nicht d#aer+gr#aun+den,,,,doch enmugen ſi ez niht ergrunden,
5448,ia iſt ſin tuſentſtunt me,ſein iſt touſent ſtunt me,,io iſt ſin tuſenſtu[...]t me,,,,ia iſt ſin tuſen[…]nt me,
5449,denne da geſcriben ſte 3890,dan inder geſchreiben ſtæ,,d#aan+ da geſc#ari+b#aen+ ſte,,,,danne da #f2v/7+ geſcriben ſte,
5450,Daz grozze wfen #avnd+ chlagen,#rD+az grozze w#suo+ffen v#and+ chlagen,,#iD+#rA+z groze ſufczen vnd di clag,,,,#iD+az groze […]fen unde clagen,
5451,daz andere fr#sov+en muzzen uertragen,daz andre vrowen muezzen haben haben,,di and#aer+ urouwen mu#zz+#dſt+#aen+ hab,,,,daz andre vrowen muſen haben,
5452,ſo ſie gewinnent d#siv+ kint,ſo ſi gewinnent div kint,,ſo ſi gew#ain+nen di kint,,,,ſo ſi gewinn#aen+t #f2v/8+ diu kint,
5453,d#siv+ uon ſunden chomen ſint,div von ſunden ko#amen+ ſint,,di v#aon+ ſund#aen+ bekum#aen+ ſint,,,,diu uon den ſunden komen ſint,
5454,daz waſ ir ſeltſæne 3895,daz waz ir ſeltzene,,daz was ir ſeltſene,,,,daz waſ ir ſeltſene,
5455,ſie was ſin alleſ âne,v#and+ was ſein alleſ ane,,ſi was ſin allis ane,,,,ſi was ez allez ane,
5456,wan daz kint daz da furgie,,,daz kint dazda wre gink,,,,daz kint daz #f2v/9+ her fur gie,
5457,do ſiz cemerſten enpfie,,,als ſi daz v#aon+ erste enpfink,,,,do ſi ce dem erstem daz emphie,
5458,daz brûefte der heilige geiſt,,,,,,,,
5459,ane ſuntliche uolleiſt 3900,,,,,,,,
5460,,,,do was di lutt#aer+e ane meil,,,,do waſ ſi luter ane meil,
5461,,,,dav#aon+ gewan ſi daz heil,,,,da von gewan ſi daz heil,
5462,uon ſchulden ſie niht enſwar,,,daz ſi nicht enſwar,,,,daz #f2v/10+ ſi niht enſwa[…],
5463,do ſie chriſtum gebar,,,do ſi #achristum+ gebar,,,,ob ſi #achristum+ gebar,
5464,#lde+r mit ſiner gêinwrte,,,,,,,,
5465,#avnd+ mæitlicher geburte,,,,,,,,
5466,die ſundære getroſte 3905,,,,,,,,
5467,#avnd+ die chriſtenheit erloſte,,,,,,,,
5468,,daz golt daz div werlt hat,,daz golt daz di w#aer+lt hat,,,,daz golt daz diu werlt hat,
5469,,div in dem ellende ſtat,,di indeme enlende ſtat,,,,[…] ſtat,
5470,,daz mohte nieman wider wegen,,daz enmochte nim#aan+t wid#aer+wegen,,,,ir en moh#f2v/11+te nimmer widerwegen,
